canonical_label,frequency,n_participants,group_coverage
Calculating Half of Diagonal AC,1,1,E:0 / B:1
Calculating Half of Diagonal BD,1,1,E:0 / B:1
Calculating Half of Diagonal Length,1,1,E:0 / B:1
Calculating answer using calculator,1,1,E:1 / B:0
Calculating midpoint segment,1,1,E:1 / B:0
Calculating part totals and percentages,1,1,E:1 / B:0
Calculating result from formula,1,1,E:0 / B:1
Calculating segment length,1,1,E:1 / B:0
Canceling shared term,1,1,E:1 / B:0
Categorizing problem type,1,1,E:1 / B:0
Challenging chatbot's assumption,1,1,E:1 / B:0
Checking calculation output,1,1,E:0 / B:1
Checking for pi-symbol availability,1,1,E:1 / B:0
Checking image-upload availability,1,1,E:1 / B:0
Checking own understanding,1,1,E:1 / B:0
Checking understanding against hint,1,1,E:1 / B:0
Claiming to have found answer,1,1,E:1 / B:0
Clarifying Text Equivalence,1,1,E:0 / B:1
Clarifying answer scope as single edge,1,1,E:0 / B:1
Clarifying correct right-angle location,1,1,E:1 / B:0
Clarifying goal using analogy,1,1,E:1 / B:0
Clarifying note-taking protocol,1,1,E:1 / B:0
Clarifying own question in response to chatbot,1,1,E:1 / B:0
Clarifying question for chatbot,1,1,E:1 / B:0
Clarifying task procedure with researcher,1,1,E:0 / B:1
Clarifying variable meaning,1,1,E:1 / B:0
Commenting on Rusty Calculator Skills,1,1,E:0 / B:1
Committing to Answer Despite Uncertainty,1,1,E:0 / B:1
Committing to answer under uncertainty,1,1,E:1 / B:0
Communicating own derived setup to LLM,1,1,E:0 / B:1
Comparing Chatbot to ChatGPT,1,1,E:0 / B:1
Comparing chatbot response to own prior reasoning,1,1,E:1 / B:0
Comparing converted option to computed result,1,1,E:0 / B:1
Comparing result to prior reasoning,1,1,E:1 / B:0
Completing bisection calculation for both diagonals,1,1,E:1 / B:0
Completing calculation independently without consulting LLM,1,1,E:0 / B:1
Completing derived formula,1,1,E:1 / B:0
Completing equation with unknowns,1,1,E:1 / B:0
Completing final multiplication calculation,1,1,E:1 / B:0
Completing hypothesis about edge symmetry,1,1,E:1 / B:0
Composing explanation of Pythagorean application,1,1,E:1 / B:0
Composing explanation of right angles,1,1,E:1 / B:0
Composing explanation of triangle division,1,1,E:1 / B:0
Composing variable definition for target,1,1,E:1 / B:0
Composing variable definitions,1,1,E:1 / B:0
Computing 6² and planning subtraction of 27,1,1,E:1 / B:0
Computing angle in degrees,1,1,E:1 / B:0
Computing bounds for a using formula,1,1,E:1 / B:0
Computing decimal equivalent of answer option,1,1,E:0 / B:1
Computing derived value,1,1,E:1 / B:0
Computing final answer from attributed given value,1,1,E:1 / B:0
Computing final answer via summation,1,1,E:1 / B:0
Computing final simplified equation,1,1,E:1 / B:0
Computing numeric value,1,1,E:1 / B:0
Computing powers and planning subtraction,1,1,E:1 / B:0
Computing second half-diagonal values,1,1,E:0 / B:1
Computing second squared value,1,1,E:0 / B:1
Computing sum result,1,1,E:0 / B:1
Computing target length via segment addition,1,1,E:1 / B:0
Computing value of a for verification,1,1,E:1 / B:0
Computing value of b for verification,1,1,E:1 / B:0
Concluding a given is missing,1,1,E:1 / B:0
Concluding correct interpretation via plausibility,1,1,E:1 / B:0
Concluding equation setup,1,1,E:1 / B:0
Concluding hypothetical determinacy,1,1,E:1 / B:0
Concluding midpoint value,1,1,E:1 / B:0
Concluding range for b,1,1,E:1 / B:0
Concluding right angle,1,1,E:1 / B:0
Concluding successful verification,1,1,E:1 / B:0
Confirming CP as height/altitude,1,1,E:1 / B:0
Confirming Calculated Value,1,1,E:0 / B:1
Confirming Correct Understanding,1,1,E:0 / B:1
Confirming Prior Calculation Correct,1,1,E:0 / B:1
Confirming alignment with own prior reasoning,1,1,E:1 / B:0
Confirming assumption before verifying,1,1,E:1 / B:0
Confirming calculated part length,1,1,E:1 / B:0
Confirming calculation makes sense,1,1,E:0 / B:1
Confirming calculation result,1,1,E:1 / B:0
Confirming chatbot's hint as correct,1,1,E:1 / B:0
Confirming comprehension of response so far,1,1,E:0 / B:1
Confirming derived formula,1,1,E:1 / B:0
Confirming final answer reasoning,1,1,E:1 / B:0
Confirming formula for full circumference,1,1,E:1 / B:0
Confirming further simplification is possible,1,1,E:1 / B:0
Confirming initial interpretation,1,1,E:1 / B:0
Confirming right triangle and requesting formula,1,1,E:1 / B:0
Confirming right-angle triangle determination,1,1,E:1 / B:0
Confirming solution method from response,1,1,E:0 / B:1
Confirming theorem with chatbot,1,1,E:1 / B:0
Confirming understanding and recording fractions,1,1,E:1 / B:0
Confirming understanding of LLM's Pythagorean suggestion,1,1,E:0 / B:1
Confirming understanding of LLM's algebraic steps,1,1,E:0 / B:1
Confirming understanding of LLM's repeated Pythagorean suggestion,1,1,E:0 / B:1
Confirming variable assignment,1,1,E:1 / B:0
Confirming verification result,1,1,E:1 / B:0
Connecting half-diagonals to Pythagorean approach,1,1,E:1 / B:0
Considering alternative solving strategy from own academic background,1,1,E:0 / B:1
Considering eliminating shared term,1,1,E:1 / B:0
Considering guessing as a strategy,1,1,E:1 / B:0
Considering missing angle,1,1,E:1 / B:0
Considering querying LLM as fallback,1,1,E:1 / B:0
Considering whether substitution is feasible,1,1,E:1 / B:0
Consolidating known segment lengths,1,1,E:1 / B:0
Constructing auxiliary point in reasoning,1,1,E:1 / B:0
Continuing algebraic rearrangement,1,1,E:1 / B:0
Continuing arc-length calculation,1,1,E:0 / B:1
Continuing calculation,1,1,E:1 / B:0
Continuing calculation with given values,1,1,E:1 / B:0
Continuing computation setup,1,1,E:1 / B:0
Continuing failed calculation attempt,1,1,E:1 / B:0
Continuing percentage estimation attempt,1,1,E:1 / B:0
Continuing radian conversion calculation,1,1,E:0 / B:1
Continuing to convert next answer option,1,1,E:0 / B:1
Continuing work on paper,1,1,E:1 / B:0
Converting next answer option,1,1,E:0 / B:1
Converting ratio to fraction,1,1,E:1 / B:0
Copying formula for reuse,1,1,E:1 / B:0
Copying task text into chat,1,1,E:1 / B:0
Correcting calculation and confirming result,1,1,E:1 / B:0
Correcting calculation approach,1,1,E:0 / B:1
Correcting chatbot's assumption,1,1,E:0 / B:1
Correcting chatbot's assumption in message,1,1,E:1 / B:0
Correcting count of triangles,1,1,E:0 / B:1
Correcting own calculation setup,1,1,E:1 / B:0
Correcting radius/diameter confusion,1,1,E:1 / B:0
Correcting recalled answer,1,1,E:1 / B:0
Correcting segment length estimate,1,1,E:1 / B:0
Correcting sign error in expression,1,1,E:1 / B:0
Critically evaluating LLM's claim,1,1,E:1 / B:0
Criticizing chatbot's failure to detect logic error,1,1,E:1 / B:0
Criticizing response as verbose and insufficiently confirmatory,1,1,E:0 / B:1
Deciding on response to chatbot,1,1,E:1 / B:0
Deciding to Consult Chatbot for Angle Property,1,1,E:0 / B:1
Deciding to apply arccosine,1,1,E:1 / B:0
Deciding to ask chatbot a new question,1,1,E:1 / B:0
Deciding to ask for help,1,1,E:1 / B:0
Deciding to attempt mental calculation first,1,1,E:1 / B:0
Deciding to attempt solution without chatbot,1,1,E:1 / B:0
Deciding to check remaining answer options,1,1,E:0 / B:1
Deciding to compute final value using calculator,1,1,E:0 / B:1
Deciding to consult LLM due to knowledge gap,1,1,E:0 / B:1
Deciding to consult LLM for guidance,1,1,E:1 / B:0
Deciding to consult chatbot again (utterance cuts off),1,1,E:1 / B:0
Deciding to consult chatbot for formula,1,1,E:1 / B:0
Deciding to consult chatbot with image,1,1,E:1 / B:0
Deciding to continue querying chatbot,1,1,E:1 / B:0
Deciding to convert answer options using calculator,1,1,E:0 / B:1
Deciding to copy task using established routine,1,1,E:0 / B:1
Deciding to explain own work to chatbot,1,1,E:1 / B:0
Deciding to follow chatbot advice,1,1,E:1 / B:0
Deciding to inform chatbot of typo correction,1,1,E:1 / B:0
Deciding to inspect chatbot's reasoning process,1,1,E:1 / B:0
Deciding to inspect chatbot's reasoning trace,1,1,E:1 / B:0
Deciding to query chatbot,1,1,E:1 / B:0
Deciding to query chatbot for direct solution,1,1,E:1 / B:0
Deciding to re-explain to chatbot,1,1,E:1 / B:0
Deciding to re-read task,1,1,E:1 / B:0
Deciding to rearrange equations,1,1,E:1 / B:0
Deciding to reason by plausibility,1,1,E:1 / B:0
Deciding to reconsider LLM's proposed approach,1,1,E:0 / B:1
Deciding to redo calculation,1,1,E:1 / B:0
Deciding to reformat equation with explicit exponents,1,1,E:1 / B:0
Deciding to request formula from LLM,1,1,E:0 / B:1
Deciding to request general approach from LLM,1,1,E:0 / B:1
Deciding to request idea from LLM,1,1,E:0 / B:1
Deciding to share image with chatbot,1,1,E:1 / B:0
Deciding to sketch diagram,1,1,E:1 / B:0
Deciding to sketch diagram to support reasoning,1,1,E:0 / B:1
Deciding to start new chat per task,1,1,E:0 / B:1
Deciding to submit solution for chatbot verification,1,1,E:0 / B:1
Deciding to try LLM's suggested equation manipulation,1,1,E:0 / B:1
Deciding to use calculator,1,1,E:1 / B:0
Deciding to use image as chatbot input,1,1,E:0 / B:1
Deciding to verify answer by calculation,1,1,E:1 / B:0
Deciding to verify assumption with chatbot,1,1,E:1 / B:0
Deciding to verify formula with chatbot,1,1,E:1 / B:0
Deciding to verify result with LLM,1,1,E:1 / B:0
Delegating equation-solving task to LLM,1,1,E:0 / B:1
Deriving Final Angle via Bisection Reasoning,1,1,E:0 / B:1
Deriving angle value from clarification,1,1,E:0 / B:1
Deriving bound for x,1,1,E:1 / B:0
Deriving circumference formula,1,1,E:1 / B:0
Deriving circumference formula (cont.),1,1,E:1 / B:0
Deriving diameter length independently,1,1,E:0 / B:1
Deriving expression for a in terms of b,1,1,E:1 / B:0
Deriving fractional relationship between segments,1,1,E:1 / B:0
Deriving geometric relationship (bisection),1,1,E:1 / B:0
Deriving inconsistent result,1,1,E:1 / B:0
Deriving length CB from midpoint C,1,1,E:1 / B:0
Deriving midpoint segment lengths,1,1,E:1 / B:0
Deriving range for a,1,1,E:1 / B:0
Deriving ratio formulation from re-read,1,1,E:1 / B:0
Deriving rearranged formula,1,1,E:1 / B:0
Deriving right triangle from bisected chord,1,1,E:1 / B:0
Deriving upper bound for b,1,1,E:1 / B:0
Describing LLM's stepwise equation-solving response,1,1,E:0 / B:1
Describing degree of freedom in figure,1,1,E:1 / B:0
Describing figure,1,1,E:1 / B:0
Describing geometric relationship between sides,1,1,E:1 / B:0
Describing geometric setup for LLM,1,1,E:0 / B:1
Describing substitution strategy,1,1,E:1 / B:0
Detecting error via magnitude check,1,1,E:1 / B:0
Determining boundary values,1,1,E:1 / B:0
Dictating calculation to LLM,1,1,E:1 / B:0
Dictating chatbot question — reasoning about required third side,1,1,E:1 / B:0
Dictating chatbot question — restating givens and triangle setup,1,1,E:1 / B:0
Dictating combined equation,1,1,E:1 / B:0
Dictating conclusion for message,1,1,E:1 / B:0
Dictating formula for message,1,1,E:1 / B:0
Dictating formula for message input,1,1,E:1 / B:0
Dictating goal for LLM,1,1,E:1 / B:0
Dictating message about equation rearrangement,1,1,E:1 / B:0
Dictating message referencing prior LLM statement,1,1,E:1 / B:0
Dictating problem clarification for LLM,1,1,E:1 / B:0
Dictating problem setup for LLM,1,1,E:1 / B:0
Dictating question to chatbot while typing,1,1,E:1 / B:0
Discovering CoT expansion feature,1,1,E:1 / B:0
Dismissing labeling discrepancy as unimportant,1,1,E:0 / B:1
Distinguishing surface appearance from actual difficulty,1,1,E:0 / B:1
Doubting Applicability of Analogy,1,1,E:0 / B:1
Drafting clarifying question for chatbot,1,1,E:1 / B:0
Elaborating bisection reasoning with values,1,1,E:1 / B:0
Elaborating solution reasoning,1,1,E:1 / B:0
Eliminating another answer option,1,1,E:0 / B:1
Eliminating answer option,1,1,E:0 / B:1
Enumerating perceived given quantities,1,1,E:1 / B:0
Enumerating unknowns in sub-triangle ACP,1,1,E:0 / B:1
Enumerating unknowns in sub-triangle BCP,1,1,E:0 / B:1
Estimating proximity to answer option,1,1,E:1 / B:0
Estimating result,1,1,E:1 / B:0
Evaluating LLM response as helpful,1,1,E:0 / B:1
Evaluating intermediate result,1,1,E:1 / B:0
Evaluating own reasoning against response,1,1,E:0 / B:1
Evaluating response's assumption,1,1,E:0 / B:1
Evaluating triangle for isosceles property,1,1,E:0 / B:1
Evaluating usefulness of rearranging equations,1,1,E:1 / B:0
Evaluating whether constraints are sufficient to solve,1,1,E:1 / B:0
Executing trigonometric calculation,1,1,E:1 / B:0
Explaining calculation logic,1,1,E:0 / B:1
Explaining derived bound for b in message,1,1,E:1 / B:0
Explaining formatting choice,1,1,E:1 / B:0
Explaining inability to fully determine length in message,1,1,E:1 / B:0
Explaining own reasoning strategy (sketching aids thinking),1,1,E:0 / B:1
Explaining rearrangement rationale in message,1,1,E:1 / B:0
Explaining vision workaround strategy,1,1,E:1 / B:0
Expressing Difficulty with Task,1,1,E:0 / B:1
Expressing Frustration/Disbelief,1,1,E:0 / B:1
Expressing Surprise at Chatbot's Counter-Question,1,1,E:0 / B:1
Expressing Surprise at Task Count,1,1,E:0 / B:1
Expressing confidence in eventually solving,1,1,E:1 / B:0
Expressing confidence in own solution prior to verification,1,1,E:0 / B:1
Expressing confidence in resolving technical issue,1,1,E:0 / B:1
Expressing confidence reinforced by cross-checking,1,1,E:0 / B:1
Expressing confusion about formula symbol,1,1,E:1 / B:0
Expressing confusion about notation,1,1,E:1 / B:0
Expressing confusion at result mismatch,1,1,E:1 / B:0
Expressing doubt requiring clarification,1,1,E:1 / B:0
Expressing exclamation of understanding,1,1,E:1 / B:0
Expressing expectation of LLM assistance,1,1,E:0 / B:1
Expressing frustration,1,1,E:1 / B:0
Expressing frustration at wasted effort,1,1,E:1 / B:0
Expressing frustration with repeated calculation errors,1,1,E:1 / B:0
Expressing hedged assessment that task requirement is met,1,1,E:0 / B:1
Expressing impasse/lack of ideas,1,1,E:1 / B:0
Expressing inability to find solution path,1,1,E:1 / B:0
Expressing knowledge gap,1,1,E:1 / B:0
Expressing playful confidence via catchphrase,1,1,E:0 / B:1
Expressing reluctance to manually simplify fraction,1,1,E:1 / B:0
Expressing reluctance to solve manually,1,1,E:0 / B:1
Expressing residual doubt about answer,1,1,E:1 / B:0
Expressing sarcastic frustration,1,1,E:1 / B:0
Expressing self-criticism,1,1,E:1 / B:0
Expressing self-doubt,1,1,E:1 / B:0
Expressing self-doubt about approach,1,1,E:1 / B:0
Expressing self-doubt about own approach,1,1,E:1 / B:0
Expressing square root as exponent,1,1,E:1 / B:0
Expressing surprise at interface behavior,1,1,E:0 / B:1
Expressing trust in chatbot-provided method,1,1,E:0 / B:1
Expressing uncertainty,1,1,E:1 / B:0
Expressing uncertainty about approach's usefulness,1,1,E:1 / B:0
Expressing uncertainty about derived formula,1,1,E:1 / B:0
Expressing uncertainty about next step,1,1,E:0 / B:1
Expressing uncertainty about ratio interpretation,1,1,E:1 / B:0
Expressing uncertainty about right angle,1,1,E:1 / B:0
Extending Analogy to Odds Framing,1,1,E:0 / B:1
Extending equal-length assumption to diagonals,1,1,E:1 / B:0
Extending equal-length hypothesis to diagonals,1,1,E:1 / B:0
Extending reasoning toward circle center,1,1,E:1 / B:0
Extracting given diagonal value,1,1,E:0 / B:1
Extracting given information,1,1,E:1 / B:0
Extracting given information from problem statement,1,1,E:0 / B:1
Extracting given values from task,1,1,E:0 / B:1
Finalizing answer,1,1,E:0 / B:1
Finalizing answer via rounding,1,1,E:1 / B:0
Finalizing answer with alternative scope noted,1,1,E:0 / B:1
Flagging Perceived Missing Translation,1,1,E:0 / B:1
Flagging own reasoning as incomplete,1,1,E:0 / B:1
Formalizing problem variables,1,1,E:1 / B:0
Formulating chatbot query,1,1,E:1 / B:0
Formulating chatbot query intent,1,1,E:1 / B:0
Formulating chatbot query with concrete values,1,1,E:1 / B:0
Formulating chatbot query with problem specifics,1,1,E:1 / B:0
Formulating clarification question,1,1,E:1 / B:0
Formulating clarifying question,1,1,E:1 / B:0
Formulating clarifying question for LLM,1,1,E:1 / B:0
Formulating counterpoint to chatbot,1,1,E:0 / B:1
Formulating equation,1,1,E:1 / B:0
Formulating follow-up question for LLM,1,1,E:1 / B:0
Formulating own sub-question,1,1,E:1 / B:0
Formulating problem statement to send to LLM,1,1,E:0 / B:1
Formulating question (how to obtain the angle),1,1,E:1 / B:0
"Formulating question about angle, not yet finalized",1,1,E:1 / B:0
Formulating solution/question strategy,1,1,E:1 / B:0
Formulating verification question for LLM,1,1,E:1 / B:0
Framing image as baseline context for chatbot,1,1,E:1 / B:0
Giving qualified answer to chatbot,1,1,E:1 / B:0
Hedging confidence in interpretation,1,1,E:1 / B:0
Hesitating before formulating question,1,1,E:1 / B:0
Hypothesizing alternative sufficient condition,1,1,E:1 / B:0
Hypothesizing bisection approach,1,1,E:1 / B:0
Hypothesizing diagonal bisection,1,1,E:1 / B:0
Hypothesizing equal-edge property of rhombus,1,1,E:1 / B:0
Hypothesizing full-angle value,1,1,E:1 / B:0
Hypothesizing mathematical concept,1,1,E:1 / B:0
Identifying Shape in Diagram,1,1,E:0 / B:1
Identifying additional unknown quantity,1,1,E:0 / B:1
Identifying applicable theorem per LLM guidance,1,1,E:0 / B:1
Identifying arc as relevant quantity,1,1,E:1 / B:0
Identifying arithmetic mistake,1,1,E:0 / B:1
Identifying element in diagram,1,1,E:1 / B:0
Identifying given side,1,1,E:1 / B:0
Identifying hypotenuse in own triangle,1,1,E:1 / B:0
Identifying knowledge gap,1,1,E:1 / B:0
Identifying known and unknown quantities,1,1,E:0 / B:1
Identifying known triangle side lengths,1,1,E:1 / B:0
Identifying missing information,1,1,E:1 / B:0
Identifying missing information needed (angle),1,1,E:1 / B:0
Identifying missing partial-segment lengths,1,1,E:1 / B:0
Identifying need for formula,1,1,E:0 / B:1
Identifying needed formula,1,1,E:1 / B:0
Identifying next calculation step,1,1,E:1 / B:0
Identifying own calculation error,1,1,E:1 / B:0
Identifying own construction as a linear equation system,1,1,E:0 / B:1
Identifying perpendicularity condition,1,1,E:1 / B:0
Identifying remaining calculation step,1,1,E:0 / B:1
Identifying required multiplication step,1,1,E:1 / B:0
Identifying required variables for calculation,1,1,E:0 / B:1
Identifying solution approach,1,1,E:1 / B:0
Identifying source of confusion,1,1,E:1 / B:0
Identifying source of error,1,1,E:0 / B:1
Identifying sub-triangle with unknown side,1,1,E:1 / B:0
Identifying target quantity,1,1,E:1 / B:0
Identifying target segment on diagram,1,1,E:1 / B:0
Identifying the unknown/goal,1,1,E:1 / B:0
Identifying too many unknowns,1,1,E:1 / B:0
Identifying triangle side (hypotenuse),1,1,E:1 / B:0
Identifying triangle vertices,1,1,E:0 / B:1
Identifying under-determined equation system,1,1,E:0 / B:1
Identifying unknown variable in task,1,1,E:0 / B:1
Identifying unresolved sub-problem (length of AB),1,1,E:0 / B:1
Independently deriving segment length (AN) from given ratios,1,1,E:0 / B:1
"Independently deriving segment lengths (NC, CB) from midpoint relation",1,1,E:0 / B:1
Inferring perpendicularity from distance definition,1,1,E:1 / B:0
Initiating self-questioning about requirements,1,1,E:1 / B:0
Inquiring about answer feedback,1,1,E:1 / B:0
